End_Station_Name,End_Station_Latitude,End_Station_Longitude
City Hall,40.7177325,-74.043845
Heights Elevator,40.74871595,-74.0404433
Newark Ave,40.72152515,-74.04630454
Danforth Light Rail,40.69263997,-74.08801228
Hamilton Park,40.72759597,-74.04424731
Jersey & 6th St,40.72528911,-74.04557168
Hilltop,40.7311689,-74.0575736
Van Vorst Park,40.71848892,-74.04772663
Baldwin at Montgomery,40.7236589,-74.0641943
Newport PATH,40.7272235,-74.0337589
Brunswick St,40.7241765,-74.0506564
Grove St PATH,40.71958612,-74.04311746
Morris Canal,40.71241882,-74.03852552
Lincoln Park,40.7246051,-74.07840595
Sip Ave,40.73074263,-74.06378388
Astor Place,40.7192822,-74.07126188
Pershing Field,40.74267714,-74.05178863
Riverview Park,40.7443187,-74.0439909
Marin Light Rail,40.71458404,-74.04281706
Liberty Light Rail,40.7112423,-74.0557013
Jersey & 3rd,40.72333159,-74.04595256
Dixon Mills,40.72163014,-74.04996783
Warren St,40.7211236,-74.03805095
Manila & 1st,40.72165072,-74.04288411
Exchange Place,40.7162469,-74.0334588
West Side Light Rail,40.714402,-74.0887723
Paulus Hook,40.7141454,-74.0335519
Dey St,40.737711,-74.066921
Brunswick & 6th,40.72601173,-74.05038893
McGinley Square,40.72533993,-74.06762213
Columbus Drive,40.7183552,-74.03891444
JC Medical Center,40.71653978,-74.04963791
Oakland Ave,40.7376037,-74.0524783
Essex Light Rail,40.7127742,-74.0364857
Newport Pkwy,40.7287448,-74.0321082
Monmouth and 6th,40.72568548,-74.04879034
Communipaw & Berry Lane,40.71435837,-74.06661093
Central Ave,40.7467299,-74.0492509
Garfield Ave Station,40.71046702,-74.0700388
5 Corners Library,40.73496102,-74.05950308
Union St,40.7182113,-74.0836394
North St,40.752559,-74.044725
Lafayette Park,40.71346383,-74.06285852
Christ Hospital,40.73478582,-74.05044364
Columbia Park,40.6970299,-74.0969366
Leonard Gordon Park,40.74590997,-74.05727148
NJCU,40.7101087,-74.0858489
MLK Light Rail,40.7111305,-74.0788855
Spruce St & Nassau St,40.71146364,-74.00552427
Bayside Park,40.69865054,-74.08207968
Fulton St & Broadway,40.711066,-74.009447
Bethune Center,40.70495752,-74.08593088
Little West St & 1 Pl,40.70569254,-74.01677685
Warren St & Church St,40.71473993,-74.00910627
JCBS Depot,40.70965083,-74.06860113
E 15 St & 3 Ave,40.734232,-73.986923
Broadway & W 36 St,40.75097711,-73.98765428
Pier 40 - Hudson River Park,40.72771408,-74.01129574
W 70 St & Amsterdam Ave,40.77748046,-73.98288594
Washington Pl & Broadway,40.72903917,-73.99404649
W 31 St & 7 Ave,40.749156,-73.9916
W 52 St & 6 Ave,40.76132983,-73.97982001
Vesey Pl & River Terrace,40.7153379,-74.01658354
West End Ave & W 94 St,40.7941654,-73.974124
W 4 St & 7 Ave S,40.73401143,-74.00293877
Clinton Ave & Myrtle Ave,40.693261,-73.968896
W 15 St & 7 Ave,40.73935542,-73.99931783
W 13 St & 5 Ave,40.73543934,-73.99453948
W 20 St & 8 Ave,40.74345335,-74.00004031
Liberty St & Broadway,40.70905623,-74.01043382
E 4 St & 2 Ave,40.7262807,-73.98978041
E 48 St & 5 Ave,40.75724568,-73.97805914
W 20 St & 11 Ave,40.746745,-74.007756
W 100 St & Manhattan Ave,40.795,-73.9645
South End Ave & Liberty St,40.711512,-74.015756
12 Ave & W 40 St,40.76087502,-74.00277668
8 Ave & W 52 St,40.76370739,-73.9851615
South St & Gouverneur Ln,40.70355377,-74.00670227
8 Ave & W 16 St,40.740983,-74.001702
E 7 St & Avenue A,40.72621788,-73.98379855
W 16 St & The High Line,40.74334935,-74.00681753
Greenwich St & Hubert St,40.721319,-74.010065
Centre St & Worth St,40.71494807,-74.00234482
W 34 St & 11 Ave,40.75594159,-74.0021163
6 Ave & Spring St,40.7252557,-74.00412083
W 43 St & 10 Ave,40.76009437,-73.99461843
Murray St & West St,40.7149787,-74.013012
Riverside Blvd & W 67 St,40.77750703,-73.98888588
Bus Slip & State St,40.701907,-74.013942
Pershing Square South,40.751581,-73.97791
Broadway & W 29 St,40.7462009,-73.98855723
Duane St & Greenwich St,40.71748752,-74.0104554
W 15 St & 10 Ave,40.74275383,-74.00747359
Washington Ave & Park Ave,40.69610226,-73.96751037
Murray St & Greenwich St,40.71485151,-74.01122332
South St & Whitehall St,40.70122128,-74.01234218
W 54 St & 9 Ave,40.76584941,-73.98690506
Hs Don't Use,40.71925171,-74.03423399
MacDougal St & Prince St,40.72710258,-74.00297088
Franklin St & W Broadway,40.71911552,-74.00666661
Christopher St & Greenwich St,40.73291553,-74.00711384
York St,40.71649,-74.04105
Broadway & W 24 St,40.7423543,-73.98915076
W 25 St & 6 Ave,40.74395411,-73.99144871
Old Fulton St,40.70277159,-73.99383605
W 76 St & Columbus Ave,40.78018397,-73.97728533
6 Ave & Canal St,40.72243797,-74.00566443
E 3 St & 1 Ave,40.72467721,-73.98783413
W 21 St & 6 Ave,40.74173969,-73.99415556
Amsterdam Ave & W 73 St,40.77966809,-73.98093045
W 24 St & 7 Ave,40.74487634,-73.99529885
Washington St,40.7242941,-74.0354826
Harborside,40.7192517,-74.034234
Journal Square,40.73367,-74.0625
Broadway & W 38 St,40.75299641,-73.98721619
Barrow St & Hudson St,40.73172428,-74.00674436
Hudson St & Reade St,40.71625008,-74.0091059
William St & Pine St,40.70717936,-74.00887308
11 Ave & W 41 St,40.76030096,-73.99884222
Allen St & Rivington St,40.72019576,-73.98997825
